,Año,Trim,Prov,Accesx100hog,BandaAncha,BandaAngos,Total,ADSL,Cablemodem,FibraOpt,Wireless,Otros_Tec,MediaMbps,AR1_0.51Mbs,AR2_0.75Mbs,AR3_3.5Mbs,AR4_8Mbs,AR5_15Mbs,AR6_25Mbs,AR7_+30Mbs,Otros_Mbs
40,2022,2,Salta,57.54,203172,5,203177,42665.0,96178.0,47076.0,10068.0,7190.0,39,114,1530,33732,72661,6012,1156,81478,6494
41,2022,2,San Juan,49.46,100126,281,100407,38570.0,19734.0,12328.0,21859.0,7916.0,14,24,2027,30385,11276,24649,3728,16701,11617
42,2022,2,San Luis,81.76,121559,182,121741,6860.0,29034.0,248.0,70614.0,14985.0,19,60,306,6840,21217,11052,67438,13,14815
43,2022,2,Santa Cruz,43.15,48987,198,49185,10170.0,23725.0,10815.0,3896.0,579.0,12,52,6841,12348,11369,11885,2454,3592,644
44,2022,2,Santa Fe,77.9,878749,110,878859,198492.0,428233.0,189503.0,43081.0,19550.0,42,468,11757,138534,204381,74133,58114,373888,17584
45,2022,2,Santiago Del Estero,47.7,118042,2,118044,16561.0,80338.0,11605.0,6618.0,2922.0,16,178,1401,29581,59931,14606,883,10672,792
46,2022,2,Tierra Del Fuego,99.86,53458,312,53770,12754.0,39837.0,403.0,125.0,651.0,11,22,831,12052,14828,19968,1712,1006,3351
47,2022,2,Tucumán,59.31,254497,30,254527,85893.0,15327.0,148823.0,3997.0,487.0,50,39,2195,34461,43513,23634,4863,145541,281
48,2022,1,Buenos Aires,76.08,4549131,6293,4555424,392045.0,2728865.0,1242121.0,125521.0,66872.0,63,31591,30056,313382,321756,290127,161183,3381049,26280
49,2022,1,Capital Federal,111.8,1415378,2163,1417541,102290.0,1217225.0,62308.0,5784.0,29934.0,88,527,5575,39918,77390,61053,43289,1188072,1717
50,2022,1,Catamarca,58.21,62377,1,62378,14181.0,15517.0,29118.0,1328.0,2234.0,51,71,456,4386,7009,8773,3761,35715,2207
51,2022,1,Chaco,44.06,144114,5,144119,32391.0,64546.0,36662.0,8164.0,2356.0,46,461,1099,16888,21235,20898,13012,62946,7580
52,2022,1,Chubut,88.05,170701,927,171628,44133.0,66667.0,9184.0,30592.0,21052.0,13,113,1677,61369,31856,33080,13871,14055,15607
53,2022,1,Córdoba,85.76,1003729,74,1003803,195610.0,501799.0,235838.0,60843.0,9713.0,50,100,12782,165922,126009,73967,34892,577027,13104
54,2022,1,Corrientes,47.64,142574,4,142578,40462.0,79093.0,10875.0,6774.0,5374.0,38,67,4029,24563,25665,27077,10452,43631,7094
55,2022,1,Entre Ríos,63.7,267904,22,267926,67159.0,138986.0,23091.0,26098.0,12592.0,36,107,5745,50075,49620,42294,21578,81757,16750
56,2022,1,Formosa,34.96,54548,0,54548,16397.0,15927.0,5146.0,16876.0,202.0,30,97,448,24113,6945,6613,716,15028,588
57,2022,1,Jujuy,58.06,116509,0,116509,21307.0,60616.0,25949.0,4662.0,3975.0,28,58,1761,22141,16321,37923,576,35287,2442
58,2022,1,La Pampa,91.66,109560,172,109732,8003.0,58978.0,21739.0,19903.0,1109.0,15,301,2223,62812,9869,12044,5250,14400,2833
59,2022,1,La Rioja,78.77,84299,4,84303,9103.0,59228.0,9546.0,6395.0,31.0,41,18,778,3576,4692,23624,5645,45970,0
